Title,Authors,volumeInfo.description,volumeInfo.pageCount,volumeInfo.categories,volumeInfo.averageRating,volumeInfo.ratingsCount,volumeInfo.imageLinks.thumbnail,volumeInfo.previewLink,volumeInfo.subtitle,BuyLink
Fantasy Islands,['Wade T. Wilson'],"If you're an adventurer in search of romance or a wife from a distant land, Fantasy Islands: A Man's Guide to Exotic Women and International Travel, is for you.",182.0,['Mail order brides'],5.0,2.0,http://books.google.com/books/content?id=uevrskBBlUcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=uevrskBBlUcC&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=5&source=gbs_api,A Man's Guide to Exotic Women and International Travel,No link available
Flights of Fantasy,['George Munday'],"Explore George Munday's memory of historic events of living life during World War One, the Interwar period and through to World War Two. After being rejected by the RAF, George was determined to do his part for the war effort and joined the Auxiliary Fire Service (AFS). Discover how they were initially scorned as 'military dodgers', but when the Blitz began, their bravery and sacrifice caught the attention of the Prime Minister, Winston Churchill, who called them ""heroes with grimy faces."" FLIGHTS OF FANTASY will take you on an emotional journey that will capture your heart and explores the human perseverance of living through the darkest of times.",29.0,['Biography & Autobiography'],,,http://books.google.com/books/content?id=TExTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=TExTEAAAQBAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=7&source=gbs_api,An Evocation of Life During and Between Two World Wars,No link available
The Golden Goblin,['Curtis Dunham'],"Two children are lost at sea in a fantastic world of mermaids, princesses, sailors, goblins, and talking birds.",232.0,['Fairy tales'],,,http://books.google.com/books/content?id=h-wpAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=h-wpAQAAMAAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=10&source=gbs_api,"Or, The Flying Dutchman, Junior; a Pleasant Fantasy for Children Based on the Most Fascinating of All Undying Legends; Told in Prose and Verse",https://play.google.com/store/books/details?id=h-wpAQAAMAAJ&rdid=book-h-wpAQAAMAAJ&rdot=1&source=gbs_api
"Sultans of Deccan India, 1500–1700","['Navina Najat Haidar', 'Marika Sardar']","The vast Deccan plateau of south-central India stretches from the Arabian Sea to the Bay of Bengal. In the sixteenth and seventeenth centuries, the region was home to several major Muslim kingdoms and became a nexus of international trade — most notably in diamonds and textiles, through which the sultanates attained remarkable wealth. The opulent art of the Deccan courts, invigorated by cultural connections to the Middle East, Africa, and Europe, developed an otherworldly character distinct from that of the contemporary Mughal north: in painting, a poetic lyricism and audacious use of color; in the decorative arts, lively creations of inlaid metalware and painted and dyed textiles; and in architecture, a somber grandeur still visible today in breathtaking monuments throughout the plateau. The first book to fully explore the history and legacy of these kingdoms, Sultans of Deccan India elucidates the predominant themes in Deccani art—the region’s diverse spiritual traditions, its exchanges with the outside world, and the powerful styles of expression that evolved under court patronage—with fresh insights and new scholarship. Alongside the discussion of the art, lively, engaging essays by some of the field’s leading scholars offer perspectives on the cycles of victory and conquest as dynasties competed with one another, vied with Vijayanagara, a great empire to the south, and finally succumbed to the Mughals from the north. Featuring some 200 of the finest works from the Deccan sultanates, as well as spectacular site photographs and informative maps, this magnificently illustrated catalogue provides the most comprehensive examination of this world to date and constitutes a pioneering resource for specialists and general readers alike.",386.0,['Art'],,,http://books.google.com/books/content?id=oi4nBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=oi4nBwAAQBAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=13&source=gbs_api,Opulence and Fantasy,No link available
"Critique of Fantasy, Vol. 1",['Laurence A. Rickels'],"Critique of Fantasy, Vol. 1: Between a Crypt and a Date Mark addresses both the style or genre of fantasy and the mental faculty, long the hot property of philosophical ethics. Freud passed it along in his 1907 essay on the poetics of daydreaming when he addressed omnipotent wish fantasy as the source and resource of the aspirations and resolutions of art, which, however, the artwork can never look back at or acknowledge. By grounding his genre in the one fantasy that is true, the Gospel, J.R.R. Tolkien obviated and made obvious the ethical mandate of fantasy's restraining order.With George Lucas's Star Wars we entered the borderlands of the fantasy and science fiction genres, a zone resulting from and staggering a contest, which Tolkien inaugurated in the 1930s. The history of this contested borderland marks changes that arose in expectation of what the new media held in store, changes realized (but outside the box of what had been projected) upon the arrival of the unanticipated digital relation, which at last seemed to award the fantasy genre the contest prize.Freud's notion of the Zeitmarke (datemark), the indelible impress of the present moment that triggered the daydream that denies it, already introduced the import of fantasy's historicization. Science fiction won a second prize that keeps it in the running. No longer bound to projecting the future, the former calling which in light of digitization it flunked, science fiction becomes allegorical and reading in the ruins of its failed predictions illuminates all the date marks and crypts hiding out in the borderlands it traverses with fantasy. To motivate the import of an evolving science fiction genre, Critique of Fantasy makes Gotthard Günther's reflections in the 1950s on American science fiction - as heralding a new metaphysics and a new planetary going on interstellar civilization - a mainstay of its cultural anthropology with B-genres.===After thirty years teaching at the University of California, Santa Barbara, in 2011 Laurence A. Rickels accepted a professorship in art and theory at the Staatliche Akademie der Bildenden Künste, Karlsruhe and taught there as successor to Klaus Theweleit until 2017. During 2018 Rickels was Eberhard Berent Visiting Professor and Distinguished Writer at New York University, and he continues to offer seminars in media and philosophy at the European Graduate School (Saas Fee, Switzerland and Malta) where he holds the Sigmund Freud Chair. Rickels is the author of Aberrations of Mourning (Minnesota, 1988), The Case of California (Minnesota, 1991), The Vampire Lectures (Minnesota, 1999), Nazi Psychoanalysis (Minnesota, 2002), The Devil Notebooks (Minnesota, 2008), Ulrike Ottinger: The Autobiography of Art Cinema (Minnesota, 2008), I Think I Am: Philip K. Dick (Minnesota, 2010), SPECTRE (Anti-Oedipus, 2013), Germany: A Science Fiction (Anti-Oedipus, 2014), and The Psycho Records (Columbia, 2016).",255.0,['Psychology'],,,http://books.google.com/books/content?id=7gWVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=7gWVEAAAQBAJ&pg=PA116&dq=Fantasy&hl=&as_brr=1&cd=14&source=gbs_api,Between a Crypt and a Datemark,No link available
"Critique of Fantasy, Vol. 2",['Laurence A. Rickels'],"In the ""Introduction; or, How Star Wars Became Our Oldest Cultural Memory"" of the first volume of Critique of Fantasy, the gambit of a contest between science fiction and fantasy was already sketched out. J.R.R. Tolkien and C.S. Lewis aimed to separate the fantasy from the techno-science foregrounded in works by H.G. Wells, for example, and raise the fantasy or fairy-story to the power of an alternate adult literary genre. My study of the contest between the B-genres for ownership of the evolution of the social relation of art out of the condemned site of day dreaming required in the first place a reading apparatus, which the first volume derived from psychoanalytic theories of daydreaming's relationship to conscious thought, the unconscious, and artistic production as well as from their prehistory, the philosophies of dreams, ghosts, willing and wishing.",235.0,['Literary Criticism'],,,http://books.google.com/books/content?id=4gWVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=4gWVEAAAQBAJ&pg=PA119&dq=Fantasy&hl=&as_brr=1&cd=16&source=gbs_api,The Contest Between B-Genres,No link available
Darkest England,['Idries Shah'],This work offers coverage of England in an anthropological sense and from the Sufi perspective.,350.0,['History'],3.0,2.0,http://books.google.com/books/content?id=fM-AP20aAWsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=fM-AP20aAWsC&pg=PA78&dq=Fantasy&hl=&as_brr=1&cd=18&source=gbs_api,,No link available
A Trial of Ice and Blood - Start this series of action-packed epic fantasy books free; a universe full of monsters and magic!,['Alexander Lound'],"Eric Christensen never expects a welcome when he returns to the Hunters’ Guild – even after long months of monster-hunting. Though when he is immediately sent on a gruelling mission alongside an inexperienced apprentice, he is less than happy. Still, it is his responsibility to train her – and quickly. The Ulvic Islands are dangerous, and full of monsters. Together, they must become the hunters the Ulvic Islands need. For their mission will soon result in a mystery. One that will threaten the Ulvic Islands, and the world . . . Book one in the epic Hunter Series! Start your epic fantasy journey here, with a series full of monsters, magic, and mystery; dark, unsettling landscapes; action-packed fight scenes; and characters that are relatable from the first page! Reviews from thrilled epic fantasy fans: 'If you like Witcher-style fight-scenes and dark, cold, viking-inspired worlds, then read this book!' 'Alexander Lound did it again! I freaking love this book and I need episode 2!' 'Fast paced, action packed, an exciting world and great characters!' 'Once I started reading this, I couldn’t stop!' 'A fantastic universe, full of monsters!' 'If you like fantasy (especially Game of Thrones and The Witcher) I’d definitely recommend this read!' For fans of: The Witcher, Andrzej Sapkowski, Brandson Sanderson, George R R Martin, Game of Thrones, Robert Jordan, Wheel of Time, JRR Tolkien, Lord of the Rings, Final Fantasy, Robin Hobb, Joe Abercrombie, Morgan Rice, Brian Rathbone, Timothy L Cerepaka, Daniel Arenson, Daniel Adorno, Arturo Miriello, Dean Murray, Jack McCarthy, Lindsay Buroker, Andy Smithson, N K Jemisin, Sabaa Tahir, Mark Lawrence, Tad Williams, R F Kuang, Terry Goodkind, Neil Gaiman, Ken Liu, Garth Nix, Christopher Paolini, Raymond E Feist, Brent Weeks, Rachel Hartman, Guy Gavriel Kay, Paul J Bennett, Steven Erikson Keywords: Epic fantasy, fantasy, magic, monsters, mages, dragons, monster-hunting, fantasy epic, dark magic, grimdark fantasy, norse fantasy, viking fantasy, fantasy books free, celtic fantasy, myths and legends, sword and sorcery, action and adventure, epic battles, action-packed fantasy, fantasy free, free fantasy, free epic fantasy, free fantasy books, free ebooks, free fantasy ebooks, fantasy like The Witcher, books like The Witcher, fantasy books free, books free, free books, free, freebie, permafree, perma-free, free novel, ebook, novel, epic, adventure, dragon, dragons, monster, mage, epic fantasy book free, epic sagas, popular series, popular series free, novella, free, top rated books, spells, epic free, free dragon books, essential reads, free series starter, series starter free, book one, book one free, free book one, free first book, free first book in series, free books for adults, free books for fantasy fans, fantasy stories, free books to read, epic free, free adventure books",69.0,['Fiction'],,,http://books.google.com/books/content?id=tmtbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=tmtbEAAAQBAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=20&source=gbs_api,,No link available
Material Fantasies,['Milena Veenis'],"""This study of East German fantasies of material abundance across the border, both before and after the fall of communism, shows the close and intricate relation between ideology and fantasy in upholding social life. In 1989, news broadcasts all over the world were dominated for weeks by images of East Germans crossing the Berlin Wall to West Germany. The images, representing the fall of communism and the democratic will of the people, also showed East Germans' excitement at finally being able to enter the western consumer paradise. But what exactly had they expected to find on the other side of the Wall? Why did they shed tears of joy when for the first time in their lives, they stepped inside West German shops? And why were they prepared to pay more than 10 percent of their average monthly wage for a pineapple? Drawing on fifteen months of research in the fast-changing post-communist East Germany, Veenis unravels the perennial truths about the interrelationships of fantasies of material wealth, personal fulfillment and social cohesion. She argues persuasively that the far-fetched socialist and capitalist promises of consumption as the road to ultimate well-being, the partial realization and partial corruption thereof, the implicit social and psychological interests underlying the politicized promises in both countries form the breeding ground for the development of materialist, cargo-cult-like fantasies, in which material well-being came to be seen as the place of ""fulfillment and ultimate arrival"".""--Publisher's website.",282.0,['Social Science'],,,http://books.google.com/books/content?id=0ySXf2AvR98C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=0ySXf2AvR98C&pg=PA29&dq=Fantasy&hl=&as_brr=1&cd=22&source=gbs_api,Expectations of the Western Consumer World Among the East Germans,No link available
PHILOSOPHY OF LOVE,['Adrian G Dumitru'],"His love Her fantasy ... understanding what love is about As a man, but also as a woman, we try to define the undefined from a love story. Dreaming about love and being in love ... the path from the fantasy to the love story itself ... is just a matter of luck ... or maybe where you find yourself, on the timeline of your own life. Maybe is the perfect time for you to explore what love is about, or maybe other things are important at the moment ... and the love story can only be a future “project”. Exploring what love is about ... in our minds, as a fantasy ... or in the real life, as a real love story ... is depending only and only if we are ready or not. But what is the difference between fantasy and reality, when even the Bible is saying that everything we see is just an illusion? Well ... i believe that the fantasy is only the begining of defining what we want ... and the love story is the “experiment” itself. Is it too much to name a love story ... an “experiment”?! Well ... exploring ... as a fantasy or as reality is letting your soul understand what love is about. And ... sometimes is even a life lesson. The moment when you jump into the fairy tale ... the real fantasy ... and you understand the meaning of love ... the fact that love is about giving and not about receiving ... that is the moment when you also understand what life is about. Accepting your partner, just as he / she is ... just as accepting all the people from our lives is the moment of awakening. And also you should know that this path is leading you to point when your thinking will be totally redefined. Life itself ... is about love. Seeing what love is about ... is understanding the meaning of life. If the “love chapter” started for you ... even if it’s just a fantasy or reality ... you should be happy. The awakening will come to you!",,['Family & Relationships'],,,http://books.google.com/books/content?id=S6khEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=S6khEAAAQBAJ&printsec=frontcover&dq=Fantasy&hl=&as_brr=1&cd=23&source=gbs_api,Defining the undefined,https://play.google.com/store/books/details?id=S6khEAAAQBAJ&rdid=book-S6khEAAAQBAJ&rdot=1&source=gbs_api
